idade,genero,pcd,ufOndeMora,cargoAtual,nivel,tempoDeExperienciaemDados,tempodeExperienciaEmTi
25,Masculino,Não,SC,Analista de Dados/Data Analyst,Pleno,Menos de 1 ano,Menos de 1 ano
40,Masculino,Não,SP,,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
24,Masculino,Não,MG,Analytics Engineer,Pleno,de 3 a 4 anos,de 3 a 4 anos
30,Masculino,Não,SP,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,Menos de 1 ano,de 3 a 4 anos
27,Masculino,Não,RJ,,,de 3 a 4 anos,Menos de 1 ano
35,Feminino,Não,SP,Analista de Dados/Data Analyst,Sênior,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26,Masculino,Não,MA,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 3 a 4 anos,de 1 a 2 anos
23,Masculino,Não,DF,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25,Feminino,Não,RJ,Analista de BI/BI Analyst,Sênior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32,Masculino,Sim,DF,Cientista de Dados/Data Scientist,Pleno,de 3 a 4 anos,Menos de 1 ano
32,Feminino,Não,RS,Analista de Dados/Data Analyst,Sênior,de 3 a 4 anos,Menos de 1 ano
34,Masculino,Não,SP,Analista de Dados/Data Analyst,Pleno,de 5 a 6 anos,de 3 a 4 anos
54,Feminino,Não,RS,,,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30,Masculino,Não,SP,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Sênior,de 5 a 6 anos,de 3 a 4 anos
32,Masculino,Não,SP,,,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
45,Masculino,Não,SP,,,Mais de 10 anos,de 3 a 4 anos
29,Masculino,Não,SP,Analista de Dados/Data Analyst,Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29,Masculino,Não,MG,,,de 3 a 4 anos,de 1 a 2 anos
38,Feminino,Não,SP,Analista de Dados/Data Analyst,Sênior,de 5 a 6 anos,Mais de 10 anos
38,Masculino,Não,SP,Analista de BI/BI Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30,Masculino,Não,PE,Analytics Engineer,Sênior,Mais de 10 anos,Mais de 10 anos
26,Feminino,Não,PE,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25,Feminino,Não,MG,,,de 1 a 2 anos,de 1 a 2 anos
33,Feminino,Não,SC,Outra Opção,Pleno,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
35,Masculino,Não,MS,Analista de BI/BI Analyst,Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33,Feminino,Não,SP,Cientista de Dados/Data Scientist,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
24,Masculino,Não,MG,Analytics Engineer,Sênior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
34,Masculino,Não,SP,Analista de Dados/Data Analyst,Júnior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28,Feminino,Não,MG,Analista de Dados/Data Analyst,Pleno,de 5 a 6 anos,Menos de 1 ano
27,Feminino,Não,SP,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Menos de 1 ano
